A	a
Aspirin	aspirin
strebend	aspiring
Ist	jest
angreifen	assail
Attentäter	assassinator
ermorden	assassinate
Ermordung	assassination
Angriff	assault
Angreifer	attacker
testen	testing
Montage	mounting
montieren	mount
Assembler	assembler
Abgeordnete	assemblyman
Zustimmung	consent
Behaupter	asserter
durchsetzungsfähig	assertively
Durchsetzungsvermögen	assertiveness
beurteilt	assessed
Vermögenswert	asset
Vermögenswerte	assets
Arschloch	shithead
zugewiesen	assigned
Abtretung	assignment
assimilieren	assimilate
Assimilation	assimilation
assimilativ	assimilative
Assimilator	assimilator
helfen	help
Assistent	assistant
Assistententätigkeit	assistantship
zu helfen	assister
unterstützend	supportive
Assoziierbarkeit	associability
assoziieren	associate
damit verbundenen	associated
Verband	association
assoziativ	associatively
sortieren	assort
Sortiment	assortment
anzunehmen	assumable
annehmen	assumer
vermutet	surmised
vorausgesetzt	assuming
vermutlich	suspected
mutmaßlich	presumptive
versicherbar	insurable
Sicherheit	surliness
versicherte	assured
ganz gewiss	assuredly
Gewissheit	assuredness
sicherstellen	assurer
versichernd	assuring
Sternchen	asterisk
Asteroid	asteroid
Asthma	asthma
Asthmatiker	asthmatic
asthmatisch	asthmatically
Astigmatismus	astigmatism
erstaunen	astonish
verblüffend	stupefy
astral	astral
rittlings	straddling
Adstringenz	astringency
adstringierend	astringent
Astrologe	astrologist
astrologisch	astrologically
Astrologie	astrology
Astronaut	astronaut
Raumfahrt	astronautics
Astronom	astronomer
astronomisch	astronomically
Astronomie	astronomy
Astrofotografie	astrophotography
astrophysikalisch	astrophysical
Astrophysiker	astrophysicist
Astrophysik	astrophysics
scharfsinnig	incisive
asymmetrisch	asymmetrically
Asymmetrie	asymmetry
bei	pie
Atheismus	atheism
Atheist	atheist
atheistisch	atheistic
Athlet	athlete
athletisch	athletically
Sportlichkeit	sportsmanship
Leichtathletik	athletics
atlantisch	atlantic
Atlas	atlas
Atmosphäre	atmosphere
atmosphärisch	atmospheric
Atmosphären	atmospherics
Atom	atom
atomar	atomically
Atomik	atomics
Zerstäubung	atomization
zerstäuben	atomize
Zerstäuber	atomizer
versöhnlich	forgiving
büßen	atone
Sühne	atonement
oben auf	atop
scheußlich	atrocious
Grausamkeit	gruesomeness
Atrophie	atrophy
anfügen	attach
ansteckbar	attachable
beigefügt	attached
Attacke	attack
angreifbar	attackable
mindestens	attain
Erreichbarkeit	attainability
Erreichung	attainment
versuchen	trying
versuchbar	attemptable
versucht	tried
Versucher	attempter
teilnehmen	participate
Teilnahme	attendance
Teilnehmer	subscriber
Aufmerksamkeit	attentiveness
bezeugen	testify
bezeugbar	attestable
Dachboden	attic
Kleidung	clothing
Attitüde	attitude
anlocken	attract
Attraktion	attraction
attraktiv	attractively
Attraktivität	attractiveness
Zurechenbar	imputable
Attribut	attribute
Attribute	attributer
Zuschreibung	attribution
attributiv	attributively
Einstimmung	attunement
untypisch	untypically
kastanienbraun	maroon
Versteigerung	veiling
Auktionator	auctioneer
kühn	audaciously
Kühnheit	audacity
Hörbarkeit	audibleness
hörbar	hearable
Publikum	audience
Audio-	audio
audiogram	audiogram
Audiologe	audiologist
Audiologie	audiology
audiometrisch	audiometric
Tonband	audiotape
audiovisuell	audiovisual
Prüfung	scrutiny
Vorsprechen	audition
Wirtschaftsprüfer	auditor
Auditorium	auditorium
auditiv	auditory
vermehren	proliferate
erhöhbar	augmentable
Augmentation	augmentation
ergänzend	supplementary
Zunahme	increase
Tante	auntie
Aura	aura
aural	aural
Aurora	aurora
Auspizien	auspices
glückverheißend	auspiciously
Glücksverheißung	auspiciousness
streng	stringently
Strenge	stringency
authentisch	authentically
authentifizieren	authenticate
Authentifizierung	authentication
Authentifikator	authenticator
Authentizität	authenticity
Autor	author
autoritär	authoritarian
Autoritarismus	authoritarianism
maßgeblich	authoritatively
Autorität	authoritativeness
Behörde	authority
autorisieren	authorize
autorisiert	authorized
autorenlos	authorless
Urheberschaft	authorship
Autismus	autism
autistisch	autistic
Auto	car
Autobiograph	autobiographer
autobiografisch	autobiographically
Autobiographie	autobiography
Autokratie	autocracy
autokratisch	autocratic
Autoerotik	autoeroticism
Autogramm	autograph
handsigniert	autographed
autografisch	autographic
Autoimmun	autoimmune
Autoimmunisierung	autoimmunization
Autohersteller	carmaker
automatisieren	automate
automatisiert	automated
automatisch	automatically
Automatik	automaticity
Automatisierung	automation
Automat	automaton
Automobil	automobile
autonom	autonomously
Autopilot	autopilot
Autopsie	autopsy
Autoarbeiter	autoworker
Herbst	autumn
Hilfs-	auxiliary
Verfügbarkeit	disposability
verfügbar	availably
Lawine	avalanche
Benutzerbild	avatar
rächen	avenge
Ahndung	avengement
Rache	vengeance
Durchschnitt	average
durchschnittlich	averagely
ablehnend	declinable
Abneigung	distastefulness
abwenden	avert
abgewendet	avertedly
Flieger	flier
begeistert	thrilled
eifrig	zealously
Avocado	avocado
vermeiden	avoid
vermeidbar	preventable
Vermeidung	avoidance
Vermeider	avoider
gestanden	avowed
erwarten	expect
wach	wakeful
wecken	waken
Erwachen	wakening
vergeben	award
auslobbar	awardable
bewusst	wittingly
Bewusstsein	consciousness
überschwemmt	awash
Scheu	awe
Eindrucksvoll	awesome
großartig	grandly
Großartigkeit	awesomeness
ehrfürchtig	reverently
schrecklich	torridly
furchtbar	terrifically
Schrecklichkeit	terribleness
eine Weile	awhile
unangenehm	unpleasing
umständlich	cumbersomely
Unbeholfenheit	klutziness
Ahle	awl
Markise	awning
erwachte	awoke
Axt	axe
gestrichen	axed
Achsen	axes
Achse	axle
Chance	chance
Azalee	azalea
plappern	chattering
Schwätzer	windbag
Baby	baby
Pavian	baboon
pavianhaft	baboonish
Kinderwagen	stroller
Babygesicht	babyface
Säuglingsalter	babyhood
kindisch	childishly
babysitten	babysit
Babysitter	babysitter
Babysprache	babytalk
Junggeselle	bachelor
Junggesellentum	bachelordom
Junggesellin	bachelorette
Junggesellenabschied	bachelorhood
Bachelorstudium	bachelorism
zurück	back
Rückenschmerzen	backache
Rückbeuge	backbend
Rückgrat	backburner
rückgratlos	spinelessly
Rückenbrecher	backbreaker
knochenhart	backbreaking
Rückraum	backcourt
rückdatieren	backdate
Hintertür	backdoor
Hintergrund	wallpaper
unterstützt	backed
Unterstützer	backer
Hinterfüllung	backfill
nach hinten losgehen	backfiring
Rückfluss	reflux
Backgammon	backgammon
Rückhand	backhanded
Rückständigkeit	backwardness
Rückendeckung	backing
Hinterland	backlands
Rückschlag	setback
rückenfrei	backless
Hintergrundbeleuchtung	backlight
hinterleuchtet	backlit
Rückstand	residue
Rucksack	backpack
Rucksacktourist	backpacker
Rücktritt	resignation
Rückenlehne	backrest
Hinterzimmer	backroom
Rückenkratzer	backscratcher
Rücksitz	backseat
Rückseite	backside
Rückenschlag	backslap
Schulterklopfen	backslapping
Backslash	backslash
Rücktaste	backspace
Backspin	backspin
Rückenstich	backstab
Hinterhältiger	backstabber
hinter den Kulissen	backstage
Hintertreppe	backstairs
Rücklaufsperre	backstop
Hinterstraße	backstreet
Rückenschwimmen	backstroke
zurückgekehrt	backswept
Rückschwung	backswing
Widerrede	backtalk
zurückgehen	backtrack
Backtracker	backtracker
Sicherung	fuse
rückwärts	backwards
Rückspülung	backwashing
Rückstau	backwater
Hinterwäldler	hillbilly
Hinterhof	backyard
Speck	flab
Bakterien	bacteria
bakteriell	bacterially
bakterizid	bactericide
bakteriologisch	bacteriologic
Bakteriologe	bacteriologist
Bakteriologie	bacteriology
Bakterium	bacterium
schlecht	badly
knallhart	badass
Abzeichen	badge
Dachs	badger
Ödland	wasteland
Badminton	badminton
böser Mund	badmouth
Schlechtigkeit	badness
Schallwand	baffle
verdutzt	baffled
Schalldämpfer	suppressor
verwirrend	perplexingly
Tasche	pocket
Bagel	bagel
Sack voll	bagful
Gepäck	luggage
verpackt	pouched
Baggie	baggie
Baggyness	bagginess
absacken	bagging
ausgebeult	baggy
beutelartig	baglike
Dudelsack	bagpipe
Dudelsackpfeifer	bagpiper
Stangenbrot	baguette
Kaution	deposit
Gerichtsvollzieher	bailiff
Kautionsmann	bailsman
Köder	baits
backen	bake
gebacken	baked
Bäcker	baker
Bäckerei	bakeshop
Backen	baking
Baklava	baklava
Gleichgewicht	equilibrium
ausbalanciert	balanceable
ausgewogen	balanced
Balancer	balancer
ausgleichend	equalizing
Balkon	balcony
bald	soon
kahler	balder
Glatze	baldhead
Glatzenbildung	balding
kahlköpfig	baldish
unverblümt	unstaunched
Kahlheit	baldness
Ballen	bunion
Ball	ball
Ballade	ballad
Ballast	ballast
geballt	balled
Ballerina	ballerina
Ballett	ballet
Ballspiel	ballgame
ballistisch	ballistic
Ballistik	ballistics
Ballon	balloon
Ballonfahrer	balloonist
Ballonfahren	ballooning
Abstimmung	ballot
Baseballstadion	ballpark
Ballspieler	ballplayer
Kugelschreiber	ballpoint
Ballsaal	ballroom
draufgängerisch	ballsy
Balsam	balsam
mild	balmy
Quatsch	hogwash
balsamisch	balsamic
Balsaholz	balsawood
Bambus	bamboo
beschwindeln	bamboozle
verwirrt	puzzled
Verwirrung	puzzlement
Bamboozler	bamboozler
Verbot	prohibitor
Banane	banana
Band	tape
Bandage	bandaid
Kopftuch	kerchief
gebändert	banded
Streifenbildung	streakiness
Bandit	bandit
Bandleader	bandleader
Kapellmeister	bandmaster
Musiker	musician
Musikpavillon	bandstand
Zug	train
Bandbreite	bandwidth
verderblich	spoilable
Knaller	banger
hämmern	pounding
Armreif	bangle
verbannen	banish
Verbanner	banisher
Geländer	railing
Banjo	banjo
Banjoist	banjoist
Bank	pew
Bank Buch	bankbook
eingezahlt	banked
Banker	banker
Bankwesen	banking
Banknote	banknote
Bankroll	bankroll
Pleite	broke
Konkurs	bankruptcy
verbieten	prohibit
Bankett	banquet
Banshee	banshee
Geplänkel	banter
Taufe	christening
taufen	baptize
Täufer	baptizer
Bar	bar
Widerhaken	barb
Barbar	barbarian
Barbarei	barbarianism
barbarisch	barbarously
Grill	barbecue
mit Widerhaken	barbed
Stacheldraht	barbwire
Hantel	dumbbell
Barbier	barber
Friseurladen	barbershop
ohne Widerhaken	barbless
Barcode	barcode
Nur	just
ohne Sattel	barebacked
Barebone	barebone
unverschämt	unashamedly
barfuß	barefoot
barfüßig	barefooted
mit bloßen Händen	barehanded
barhäuptig	bareheaded
barbeinig	barelegged
kaum	scarcely
Blöße	bareness
Kotzen	barf
barfly	barfly
Schnäppchen	bargain
Schnäppchenjäger	bargainer
verhandeln	negotiate
Lastkahn	barge
Bergraff	bargraph
Barista	barista
Bariton	baritone
bellen	bark
barkeep	barkeep
barkeeper	barkeeper
Marktschreier	barker
Gebell	barking
Gerste	barley
Barmann	bartender
Scheune	barn
Seepocken	barnacle
Scheunenhof	barnyard
Barometer	barometer
barometrisch	barometrically
Baron	baron
Baronin	baroness
Barock	baroque
Baracke	shed
Barrakuda	barracuda
gesperrt	locked
Fass	keg
fassbar	barreled
Fasskopf	barrelhead
unfruchtbar	unfruitful
Unfruchtbarkeit	unfruitfulness
Haarspange	barrette
Barrikade	barricader
abgesehen	barring
Barhocker	barstool
Barkeeper	bartending
Tausch	barterer
Base	base
Baseball	baseball
Fußleiste	baseboard
Basislager	basecamp
basierend	based
unbegründet	unsubstantiated
Grundlinie	baseline
Baseman	baseman
Keller	cellar
Basen	bases
bash	bash
Basher	basher
schüchtern	timidly
Schüchternheit	timidity
Basic	basic
grundsätzlich	fundamentally
Grundlagen	basics
Basilikum	basil
Becken	pelvis
Stubenwagen	bassinet
Basis	grassroots
sich aalen	bask
Korb	hamper
Basketball	basketball
Korbvoll	basketful
Korbwaren	basketry
Korbgeflecht	wicker
Bass	bass
Bassist	bassist
Fagott	fagot
Fagottist	bassoonist
Bastard	bastard
Bastardisierung	bastardization
verfälschen	falsify
heften	baste
Heften	stapling
eins	unfed
Batboy	batboy
Charge	batch
Bad	bath
baden	bathe
Badehaus	bathhouse
Baden	swimming
Badematte	bathmat
Bademantel	bathrobe
Badezimmer	bathroom
Badewanne	bathtub
Badewasser	bathwater
Eunuch	bating
Batman	batman
Taktstock	baton
Fledermäuse	bats
Bataillon	battalion
Teig	dough
zerschlagen	smashing
Misshandlung	mistreatment
Batterie	battery
Schlagen	batting
Schlacht	battle
Streitaxt	battleaxe
gekämpft	fought
Schlachtfeld	battleground
Schlachtfront	battlefront
Schlachtschiff	battleship
verrückt	zany
Fledermausflügel	batwing
Flitter	bauble
grölen	bawl
Buller	bawler
Bucht	bay
Lorbeer	laurel
Bajonett	bayonet
Bayou	bayou
Basar	bazaar
Bazooka	bazooka
Sei	be
Strand	beach
Strandball	beachball
Strandkämmen	beachcombing
gestrandet	stranded
direkt am Strand	beachfront
Strandkleidung	beachwear
Leuchtfeuer	beacon
Korn	bead
Perlen	beading
perlenartig	beadlike
Perlenstickerei	beadwork
perlig	beady
Beagle	beagle
Schnabel	beak
Becherglas	beaker
sichtbar	visibly
Strahl	ray
strahlte	beamed
strahlend	radiant
strahlartig	beamlike
Bohne	bean
Sitzsack	beanbag
Bohnen Säcke	beanbags
Mütze	beanie
Bohnenstange	beanstalk
tragen	wearing
erträglich	tolerable
Bart	beard
bärtig	bearded
bartlos	beardless
Träger	wielder
Lager	warehouse
bärenartig	bearlike
Bärenfell	bearskin
tierisch	beastly
Gemeinheit	nastiness
schlagen	whacking
schlagbar	beatable
geschlagen	struck
Schläger	slugger
Prügel	thrashing
Beau	beau
Verschönerung	embellishment
Verschönerer	embellisher
Schön	beautiful
schön	nicely
Schönheit	handsomeness
verschönern	prettify
Biber	beaver
Bebop	bebop
Weil	jog
winkt	beckoning
werden	become
wird	becomes
Werden	becoming
gefällig	becomingly
Bett	bed
blenden	dazzle
Verblendung	bedazzlement
umwerfend	stunner
Bettwanze	bedbug
Schlafgemach	bedchamber
Bettzeug	bedroll
Bettdecke	duvet
gebettet	couched
Bettwäsche	bedding
Bettgenosse	bedfellow
Bettnachbar	bedmate
Bettpfanne	bedpan
Bettpfosten	bedpost
Bettgitter	bedrail
bettlägerig	bedridden
Schlafzimmer	bedroom
Bettlaken	bedsheet
Nachttisch	nightstand
Dekubitus	bedsore
Tagesdecke	bedspread
Bettsprung	bedspring
Bettzeit	bedtime
Biene	bee
Buche	beech
Buchecker	beechnut
Rindfleisch	beef
Rindfleischburger	beefburger
Beefcake	beefcake
bullig	brawny
Beefsteak	beefsteak
Bienenstock	hive
Imker	beekeeper
Bienenzucht	beekeeping
direkt	straightly
gewesen	been
Piep	beep
Piepser	beeper
Bier	beer
Bier Haus	beerhouse
Bienen	bees
Beestings	beestings
Bienenwachs	beeswax
Rübe	turnip
Käfer	beetle
befall	befall
standesgemäß	befittingly
Vor	before
vorweg	beforehand
beschmutzen	befoul
befreunde dich	befriend
verwirren	tangling
bitten	beg
zeugen	procreate
betteln	beggar
beginnen	kickoff
Anfänger	rookie
Anfang	outset
gestartet	begone
gönnen	begrudge
widerwillig	reluctantly
betören	beguile
betörend	bewitcher
begonnen	begun
Namen	behalf
benehmen	behave
Verhalten	behavioral
Behaviorismus	behaviorism
Behaviorist	behaviorist
enthaupten	decapitate
gesehen	seen
Ungetüm	behemoth
hinter	behind
verpflichtet	obliged
Betrachter	contemplator
betrachtend	beholding
gehorchen	obey
gehört	behooves
Beige	beige
Sein	being
Bejewel	bejewel
verspätet	belatedly
rülpsen	belch
Glauben	belief
Glaubwürdigkeit	creditability
glaubhaft	creditably
glauben	tin
Gläubige	believer
gläubig	believingly
schmälern	belittle
Herabsetzung	belittlement
Glocke	bell
Page	bellboy
Belle	belle
Glockenblume	bellflower
Hotelpage	bellhop
Kriegslust	belligerency
kriegerisch	warlike
Portier	concierge
unten	downstairs
Nabel	navel
bauchig	bellyful
gehören	belong
Besitz	possession
geliebten	beloved
unter Tage	underground
Gürtel	girdle
mit Gürtel	belted
gürtellos	beltless
Gürtellinie	beltline
Beluga	beluga
Bankdrücken	benching
Benchmark	benchmark
Benchmarking	benchmarking
Bankwärmer	benchwarmer
biegen	flex
biegbar	bendable
gebogen	curved
Biegen	bending
biegsam	bendy
darunter	underneath
Segen	boon
Wohltäter	benefactor
wohltuend	comforting
Begünstigter	beneficiary
begünstigen	beneficiate
Nutzen	benefit
Nutznießer	benefiter
Wohlwollen	goodwill
wohlwollend	benevolently
gutartig	benign
gütig	benignly
vererben	bequeath
beschimpfen	berate
berauben	deprive
Hinterbliebene	bereaved
Trauer	sorrowfulness
Baskenmütze	beret
Beere	berry
ohne Beeren	berryless
beerenartig	berrylike
Berserker	berserk
flehentlich	supplicating
flehend	pleadingly
außerdem	besides
belagert	besieged
besiegement	besiegement
mit Brille	bespectacled
maßgeschneidert	bespoken
am besten	best
Bestialität	bestiality
verleihen	confer
Verleihung	bestowal
Schenken	bestowing
bestseller	bestseller
meistverkauft	bestselling
Beta	beta
verraten	betray
Verrat	treason
Verräter	traitor
Verlobung	betrothal
verlobt	betrothed
besser	better
verbessern	improving
Wetten	betting
zwischen	tween
Fase	bevel
Getränk	beverage
in acht nehmen	beware
verzaubern	spellbind
Verzauberung	enchantment
bezaubernd	entrancingly
darüber hinaus	moreover
halbjährlich	semiannually
Voreingenommenheit	prepossession
voreingenommen	prejudiced
Lätzchen	bib
Bibel	bible
biblisch	scripturally
bibliographer	bibliographer
bibliographisch	bibliographically
Literaturverzeichnis	bibliography
Bikarbonat	bicarbonate
Zweihundertjahrfeier	bicentennial
Bizeps	biceps
zanken	bicker
Streiter	bickerer
bikulturell	bicultural
Bicuspid	bicuspid
Fahrrad	bicycle
Radfahrer	cyclist
Bieter	bidder
Bieten	bidding
Biddy	biddy
Weg	pathway
abwarten	outwait
bidirektional	bidirectional
bifokal	bifocal
Bifokalbrille	bifocals
groß	vast
Bigamist	bigamist
Bigamie	bigamy
größer	taller
größte	biggest
Biggie	biggie
eingebildet	fancied
großherzig	greathearted
Großherzigkeit	bigheartedness
großmäulig	bigmouthed
Größe	tallness
Frömmler	bigot
bigott	bigoted
Fanatismus	fanaticism
Bigwig	bigwig
Biker	biker
Bikini	bikini
bilateral	bilaterally
sogar	pun
bilinear	bilinear
zweisprachig	bilingually
Zweisprachigkeit	bilingualism
Rechnung	invoice
Plakatwand	billboard
in Rechnung gestellt	billed
Brieftasche	pocketbook
Billard-	billiard
Billard	billiards
Abrechnung	reckoning
Milliarde	billion
Milliardär	billionaire
Billion	trillion
wogend	heaving
Blödmann	dumbass
bimolekular	bimolecular
zweimonatlich	bimonthly
binär	binary
binden	tying
Bindemittel	binder
Bindung	bond
Saufgelage	binge
Bingo	bingo
Fernglas	binoculars
Binomial-	binomial
War	zen
biochemisch	biochemical
Biochemiker	biochemist
Biochemie	biochemistry
Biochip	biochip
biologisch abbaubar	biodegradable
Biodiversität	biodiversity
Bioelektrizität	bioelectricity
Biotreibstoff	biofuel
biogenetisch	biogenetically
Biogenetik	biogenetics
Biograph	biographer
biografisch	biographically
Biografie	biography
Biogefährdung	biohazard
biologisch	biologically
Biologe	biologist
Biologie	biology
Biolumineszenz	bioluminescence
biolumineszierend	bioluminescent
Biomathematik	biomathematics
biomechanisch	biomechanical
Biomechanik	biomechanics
biomedizinisch	biomedical
biometrisch	biometrically
bionisch	bionic
